"country_name","report_date","num_cases","num_deaths","num_recovered","population","num_cases_100k"
"Turkey","2020-04-02","18135","356","415","84339067","21.50249065477568"
"United States of America","2020-04-02","243453","5926","9001","331002651","73.5501662190615"
"Uganda","2020-04-02","45","0","0","45741007","0.09837999412649573"
"Ukraine","2020-04-02","897","22","19","43733762","2.0510469691585187"
"United Arab Emirates","2020-04-02","1024","8","96","9890402","10.353471982230854"
"United Kingdom","2020-04-02","34173","2926","192","67886011","50.33879513115007"
"Uruguay","2020-04-02","350","4","62","3473730","10.075624760703912"
"Uzbekistan","2020-04-02","205","2","25","33469203","0.6125033810933592"
"Venezuela","2020-04-02","146","5","43","28435940","0.513434758970514"
"Vietnam","2020-04-02","233","0","75","97338579","0.2393706610407781"
"West Bank","2020-04-02","161","1","18",NULL,"0"
"Zambia","2020-04-02","39","1","0","18383955","0.21214151144299473"
"Zimbabwe","2020-04-02","9","1","0","14862924","0.060553360832632935"
